name,score
CocoaPods_Cork,0
ElMassimo_mongoid_includes,1
medialab-ufg/tainacan,1
ivantsepp_codeclimate-scss-lint,0
Anaconda-Platform/anaconda-client,1
PapenfussLab_gridss,1
bulentv_js_zklib,1
uclouvain_osis,1
vluzrmos_laravel-language-detector,0
HSR-SE2Proj_JBomberman,1
gouarfig_board-notices,1
thyrlian_JunitReportGenerator,0
BhallaLab_moose-examples,1
mindplay-dk_unbox,0
olivierHa_puppet-influxdb,1
CitrineInformatics_api-documentation,0
rmbreak_pam_ldapdb,0
sergicastro_manage-credentials,0
Yoast_YoastSEO.js,1
ofbeaton_command-running,0
ColdTrick_elasticsearch,0
olssonm_l5-very-basic-auth,0
jeremyevans_rodauth,1
adamnoto/bali,1
kuzzleio_kuzzle,1
OmegaK2_PyPoE,1
LabSEC_libcryptosec,1
culqi_culqi-java,1
neos_flow-development-collection,1
livecode_livecode,1
itdxer_neupy,1
mikahama/syntaxmaker,0
ethereumjs/ethrpc,1
sonofeft_PyHatch,0
nguyentu1602_algorithm-tdd,1
bung87_moto-moe,0
NoChanceSD_AncientGates,1
seikichi_pry-inline,0
Commit451_NativeStackBlur,0
edx_ecommerce-worker,1
indibeast_currency-format,1
hakan42_chronos,1
SidRoberts_phalcon-events,0
ArpNetworking_metrics-jvm-extra,1
the-events-calendar/tribe-common,0
JMRI_JMRI,1
wmde_FundraisingFrontend,1
twaugh_journal-brief,1
czim_laravel-dataobject,1
openmrs/bacteriology,0
servicecatalog_development,1
Cutehacks_duperagent,1
blackwinter_bismas,1
jkraemer_redmine_pushover,0
ipfs-shipyard/ipscend,1
ctlabvn/Recaptcha,0
juju-solutions_layer-basic,1
afs_text-table,0
imglib_imglib2-introductory-workshop,0
rburgst_okhttp-digest,1
unepwcmc_ORS-API,1
20c_munge,1
moimikey_stripquotes,1
rpherbig_dr-scripts,1
TeknooSoftware_sellsy-client,1
ipfs_js-ipfs,1
marvinpinto_ansible-role-docker,0
ThaDafinser_UserAgentParser,1
yaocloud_kaname,1
Tokimon_vanillajs-helpers,0
hiqdev_omnipay-ecoin,0
zz85_space-radar,0
jpbonson/SBBFramework,1
uolcz/pina,0
Integreat_cms,1
GeBeater_dozer-jdk8-support,1
EXIficient_exificient,1
arturictus_easy_serializer,1
xp-forge_functions,0
JeroenDeDauw_QueryrAPI,0
dockstore/dockstore,1
broccoli-html-editor/broccoli-html-editor,0
janbar_noson,1
MoombaDS_quest,0
gopaycommunity_gopay-php-api,1
alphagov_paas-cf,1
microfocus-idol/java-idol-types,1
Mozu_generator-mozu-theme,0
eFaps_Data-Exporter,1
WGBH_wagtail-streamfieldtools,0
netiam_contrib-rest,1
chemfiles_cfiles,1
PickNikRobotics/rosparam_shortcuts,0
zhm_minipg,0
albertodemichelis_squirrel,1
fosstp_fosstp,0
kadrlica_dsphsim,1
allenwq_devise-multi_email,1
webpack-contrib/npm-install-webpack-plugin,0
PythonicNinja_pydrill,1
honix_Pyno,1
SpineEventEngine_jdbc-storage,1
astorm_pestle,1
rwz_natural_sort,0
dankogai_js-hexfloat,0
spiral/scaffolder,1
vojtasvoboda_oc-twigextensions-plugin,0
michaelmior_NoSE,1
Cosylab_nds3,1
lsphillips_RuntimeError,0
RestComm_jdiameter,1
plone_plone.versioncheck,0
masneyb_cavedbmanager,1
VioletGiraffe_cpp-template-utils,1
PluginsOCSInventory-NG_officepack,0
narunlifescience_runcircos-gui,0
ZeitOnline_pyramid_dogpile_cache2,0
telemark_tfk-dsf-unwrap-contact,0
Hashfyre_ansimp_le,0
substancelab_rconomic,1
NYPL-Simplified_server_core,0
Cadasta_cadasta-platform,1
SuperdeskWebPublisher_SWPMultiTenancyBundle,1
ECAM-Brussels_PythonAdvanced2BA,0
Anrop/AAR-Rails,0
python_mypy,1
microfocus-idol/java-aci-types,1
Anrop_Anrop-API,0
nexylan/slack-bundle,0
gdbots_pbjx-bundle-php,0
roundpartner_configuration,0
openprocurement_openprocurement.tender.openuadefense,1
gocodebox_lifterlms,1
m-jch_Date,0
AspenWeb_pando.py,1
Azure_azure-storage-ruby,0
liveblog_liveblog,1
spryker/stock,1
conda-forge_nodejs-feedstock,1
