project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
appserver-io_console,0,0,27,2,2,1,103,18,9,0,0,0
scikit-learn_scikit-learn,8,9,59,3,1,1,2,11,4,0,1,0
OhadR_oAuth2-sample,0,1,9,1,0,1,1,4,0,0,0,0
tildeio_rsvp.js,1,0,18,3,0,1,2,7,4,0,0,0
epistrephein_rarbg,1,0,28,6,0,1,3,10,4,1,0,0
icewind1991_SMB,2,0,58,8,0,1,12,23,14,0,0,0
DomRe_galaxy,0,1,36,1,0,1,24,6,14,1,0,1
usemarkup_OEmbedBundle,1,0,31,5,1,1,2,19,5,0,0,0
watir_watir-rails,0,0,16,8,1,1,4,6,0,0,0,0
ElMassimo_mongoid_includes,4,0,35,2,0,1,3,9,7,0,0,0
spiral_scaffolder,0,0,20,4,0,1,2,15,3,0,0,0
ITDSystems_alvex-orgchart,0,0,44,1,1,1,12,10,12,0,1,0
php-tmdb_laravel,1,0,28,14,0,1,4,17,3,0,0,0
bitchcraft_reactjs-boilerplate,0,0,23,4,0,3,12,7,3,0,0,0
juju-solutions_layer-basic,1,0,61,6,0,1,22,9,4,0,0,0
guardian_scribe-plugin-noting,4,0,29,8,0,1,103,7,1,0,1,0
HubSpot_jinjava,0,4,27,1,1,1,11,9,1,0,1,0
Erebot_Module_IrcTracker,0,0,61,6,1,2,28,24,9,0,1,0
gabynaiman_eternity,0,0,28,12,0,1,4,6,2,0,0,0
miguno_ksql-udf-examples,0,4,12,1,0,1,2,3,0,0,0,0
yamamuteki_chi-bus.jp,0,0,10,1,0,1,2,5,4,0,0,0
OCA_commission,5,1,50,3,0,2,2,11,6,0,1,0
barnabycolby_MMM-Carousel,0,0,7,2,0,1,2,5,2,0,0,0
unepwcmc_SAPI,2,1,26,1,1,1,213,10,4,0,1,0
volcoma_itc,3,2,120,7,0,1,12,4,5,0,0,0
HdrHistogram_HdrHistogram,0,0,6,3,0,1,2,2,0,0,0,0
NetCommons3_Boxes,7,2,43,5,1,1,12,23,7,0,0,0
unix-junkie_javafs,0,0,8,1,0,1,2,2,0,0,0,0
ncri_nested_form_fields,0,0,23,8,0,1,13,7,1,0,1,0
Zeex_samp-plugin-profiler,0,0,28,1,0,1,13,5,6,0,0,1
rajithaw_workflow-designer,0,0,18,1,0,1,22,7,2,0,1,1
acquiropay_php-sdk,0,0,17,2,0,1,12,16,2,0,1,0
locationtech_udig-platform,2,2,52,3,1,1,12,14,15,0,1,0
php-telegram-bot_telegram-bot-manager,1,0,52,4,1,1,1,26,5,0,1,0
BladeRunnerJS_brjs,0,0,17,1,1,1,112,9,5,0,0,0
expectedbehavior_acts_as_archival,0,0,24,15,0,1,3,7,1,0,1,0
zeeguu-ecosystem_Zeeguu-Core,0,0,22,1,0,1,2,8,4,0,1,0
catamphetamine_libphonenumber-js,0,4,16,1,0,1,12,7,3,0,0,0
JeroenDeDauw_FileFetcher,0,0,30,4,0,1,13,19,3,0,1,0
sourcelair_castor,4,1,28,2,0,1,4,9,3,0,0,0
shoes_shoes4,0,4,53,10,2,1,113,11,8,0,1,0
EliseJ_astroABC,0,1,20,2,0,1,2,6,7,0,0,0
microsoft_pxt-common-packages,0,0,17,1,1,1,12,8,2,0,1,0
NethServer_nethserver-lang,4,0,34,1,0,1,2,7,3,1,0,0
letrunghieu_wordpress-xmlrpc-client,0,0,24,6,0,1,3,17,3,0,0,0
asgrim_quality-tutorial,0,0,31,4,0,4,2,9,8,0,0,0
zinhart_ann,0,4,42,1,1,1,11,10,9,1,0,0
ruby-grape_grape,0,2,65,21,0,1,13,5,5,0,0,0
satya-das_cppparser,2,0,38,2,0,1,3,3,9,0,0,0
rburgst_okhttp-digest,0,0,13,1,0,1,1,7,3,0,1,0
XadillaX_Toshihiko-Memcached,0,0,27,3,0,1,23,10,3,0,0,0
BzCoder_SmartMediaPicker,0,0,23,1,0,1,12,6,5,0,0,0
gatgui_gcore,1,2,40,2,0,1,3,6,4,0,0,0
AppDirect_service-integration-sdk,0,0,22,1,1,1,12,6,1,0,0,1
gephi_gephi,0,8,66,2,0,1,13,12,14,1,1,0
groupdocs-total_GroupDocs.Total-for-Java-Dropwizard,0,1,40,8,0,4,12,9,9,0,0,0
GeBeater_dozer-jdk8-support,0,0,8,2,0,1,2,3,0,0,0,0
narunlifescience_runcircos-gui,0,0,11,1,0,1,1,3,5,0,0,0
heroku_configerator,0,0,10,5,0,1,13,4,1,0,0,0
iesdonana_mueveme-barba,0,6,42,1,0,1,11,22,8,0,0,0
horde_Url,0,0,20,7,0,1,2,17,4,0,0,0
puppetlabs_puppetlabs-mysql,4,0,138,11,1,3,0,12,17,1,1,0
umple_umple,5,27,139,2,0,1,3,9,23,0,1,0
arturictus_easy_serializer,1,2,37,12,0,1,113,9,3,0,1,0
glorpen_GlorpenPropelBundle,3,0,33,10,0,1,3,11,4,0,0,0
ahartoto_booklib,0,4,37,1,1,1,11,10,8,0,1,0
nfroidure_yerror,0,0,12,4,0,1,2,7,1,0,0,0
vle-forge_vle,3,0,143,9,1,1,22,7,6,1,0,0
hiqdev_omnipay-ecoin,0,0,28,4,0,1,12,20,7,0,1,0
objectiveweb_auth,0,0,19,6,0,1,12,16,3,0,0,0
telefonicaid_fiware-orion,2,0,21,3,0,1,13,8,6,0,0,0
japzio_docker-registry-helpers,0,0,18,2,0,1,1,6,3,0,0,0
davidmoten_logan,0,0,4,1,0,1,2,2,0,0,0,0
fosstp_fosstp,0,2,19,2,0,1,2,8,7,0,0,0
inthemill_istanbul-tolerant-merge,0,0,3,1,0,1,2,3,0,0,0,0
panterch_future_kids,0,0,16,1,0,1,1,7,4,0,1,0
thedava_xspf-tools,0,4,22,2,1,1,2,16,3,0,0,0
telemark_minelev-notifications,0,0,5,1,0,1,2,4,0,0,0,0
OCA_geospatial,5,8,50,3,0,1,13,11,9,0,1,0
gottfrois_link_thumbnailer,0,0,6,3,0,1,2,3,0,0,0,0
ff4j_ff4j,1,0,10,1,0,1,2,3,0,0,0,0
