project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
molgenis_molgenis,2,5,34,2,1,1,0,13,5,0,1,0
jeremyevans_ruby-american_date,0,0,13,2,0,1,3,6,1,0,0,0
pomm-project_Cli,1,0,28,7,0,1,3,18,5,0,0,0
Mozu_generator-mozu-theme,1,1,32,6,1,1,12,10,8,1,1,0
mozilla_elmo,2,1,27,8,0,1,11,8,7,0,0,0
xp-forge_functions,0,1,24,6,0,1,3,16,4,0,0,0
hivesolutions_cameo_android,2,0,17,1,0,1,2,5,4,0,0,0
WGBH-MLA_pbcore,0,0,6,1,0,1,12,3,1,0,0,0
alphagov_paas-cf,6,0,104,9,0,1,12,6,22,0,0,0
anthony-quiros_openChat,0,0,8,1,0,1,2,5,2,0,0,0
MariaDB_server,4,41,241,17,1,1,0,13,13,0,1,0
bung87_moto-moe,2,0,27,3,0,1,3,12,12,0,0,0
clarete_forbiddenfruit,0,0,13,5,0,1,1,6,3,0,0,0
Soldy_interactiveConsole,0,0,4,1,0,1,2,3,0,0,0,0
linagora_hublin,2,1,24,1,0,1,3,7,1,0,0,0
mapbox_node-fontnik,7,62,179,16,0,1,23,8,21,0,0,0
oscar-stack_vagrant-hosts,3,5,35,6,0,1,13,7,4,0,0,0
gjtorikian_html-pipeline,0,0,44,10,0,1,3,9,1,0,1,0
thoward27_algorithms,0,0,13,1,0,1,1,3,1,0,0,0
icewing1996_biaffine-parser,0,2,20,1,0,1,2,5,11,0,0,0
pypa_warehouse,2,0,67,8,0,1,2,13,17,0,1,0
arhaikal_veriffymycar,1,0,16,1,0,1,1,7,4,0,0,0
muddydixon_fluent-plugin-anomalydetect,0,0,10,6,0,1,3,5,1,0,0,0
devnexen_rbcLib,0,1,11,1,0,1,3,5,3,0,0,0
cylon-v_dandy,0,0,6,1,0,1,12,3,1,0,0,0
ThomasWeinert_carica-io,0,0,30,4,1,1,3,17,5,0,0,0
square_dagger,1,1,38,1,0,1,12,11,2,1,1,0
Pylons_paginate,2,0,26,6,0,1,13,4,2,0,0,0
jkraemer_redmine_pushover,1,0,32,6,0,1,2,9,10,1,0,0
Yubico_php-yubico,1,0,15,4,0,1,11,17,0,0,0,0
gocodebox_lifterlms,0,0,4,1,0,1,3,3,0,0,0,0
vektor-inc_biz-vektor,0,0,34,2,0,1,2,21,8,1,1,0
otavanopisto_muikku,13,32,114,20,1,1,13,14,8,1,1,0
yinian1992_flask-docs-cn,0,5,13,1,0,1,2,5,2,0,0,0
uolcz_pina,1,0,8,1,0,1,12,6,1,0,0,0
everypolitician_everypolitician-data,1,0,20,1,1,1,2,9,3,0,1,0
lml_quadbase,1,8,20,1,0,1,2,6,3,0,0,0
jimmoores_quandl4j,0,0,10,1,0,1,3,3,2,0,0,0
airbnb_javascript,6,0,109,79,0,1,14,10,6,0,0,0
yeutech-lab_wallpapers-yeutech,0,5,52,2,0,2,53,7,8,1,1,0
cozy_cozy-drive,3,16,121,5,0,2,44,7,28,1,0,0
fkhadra_react-on-screen,0,0,6,1,0,1,2,4,1,0,0,0
kmels_SigPyParser,1,0,22,3,0,1,22,9,4,0,0,0
Switajski_FlexibleOrders,0,0,7,1,0,1,2,5,1,0,0,0
TeamWizardry_TMT-Refraction,0,0,9,1,0,1,2,5,1,0,1,0
ModeShape_modeshape,1,17,43,1,0,1,2,10,3,0,1,0
CruGlobal_kirby,0,0,11,1,0,1,2,5,1,0,0,1
hecom-rn_IncUpdate,0,0,22,2,0,2,2,5,0,0,0,0
briefmnews_django-esidoc,0,0,15,1,0,1,2,6,3,0,0,0
kmpm_nodemcu-uploader,0,2,12,2,0,1,2,5,2,0,0,0
enobufs_dtimer,0,0,11,2,0,1,3,6,1,0,0,0
plone_plone.versioncheck,1,0,42,6,0,1,13,7,4,0,1,0
ColdTrick_elasticsearch,1,16,51,1,0,1,13,19,3,0,0,1
adgproject_adg,3,6,115,20,0,1,3,7,8,0,1,0
hawkular_hawkular-alerts,1,12,79,1,1,1,11,20,10,0,1,0
chemfiles_cfiles,1,0,73,4,0,1,2,4,11,0,0,0
cryptocoinjs_eckey,4,0,33,5,0,1,0,9,1,0,0,0
vinsol-spree-contrib_spree_bank_transfer,0,0,7,1,0,1,2,4,2,0,0,0
intermine_intermine,6,0,28,4,0,1,0,9,3,0,0,0
cocos2d_cocos2d-js,3,0,19,2,0,1,3,4,3,1,0,0
puppetlabs_pdksync,2,0,29,4,0,1,0,8,2,1,1,0
joshka_junit-json-params,1,0,30,1,0,1,13,8,3,0,1,1
ihaohong_algs,0,0,13,1,0,1,2,5,1,0,1,0
mozilla_mozillians-tests,0,0,8,1,0,1,2,5,3,0,0,0
vend_mysql-uuid,0,0,15,2,0,1,2,14,2,0,0,0
hashicorp_nomad-java-sdk,0,1,27,1,0,1,11,6,1,0,1,0
OpenNebula_one,0,15,29,1,0,1,1,2,8,0,0,0
criesbeck_thinking-with-hooks,0,0,7,1,0,1,2,3,0,0,0,0
privrja_bbdgnc,0,2,18,1,0,1,2,15,4,0,0,0
AcademySoftwareFoundation_OpenShadingLanguage,9,13,184,8,1,1,102,9,22,1,1,0
ofbeaton_command-running,0,0,31,5,0,1,13,18,5,0,0,0
vcalderon2009_Red_Sequence_Evolution,0,0,1,1,0,1,3,2,0,0,0,0
hzxie_voj,1,6,52,4,0,1,2,9,15,0,0,0
NullHypothesis_bridgedb,1,8,55,1,2,1,2,11,8,0,0,0
nadirhamid_oneline,0,0,5,1,0,1,3,3,3,0,0,0
randombit_botan,1,1,55,4,0,1,0,9,2,1,1,0
proseline_paid.proseline.com,0,0,10,1,0,1,12,4,4,0,0,0
AteneoMolinaDeSegura_jekyll,2,3,28,1,0,1,18,9,7,0,1,1
leapmotion_autowiring,4,5,62,2,0,1,13,7,17,0,0,0
kriskowal_q,0,0,6,1,0,1,2,4,1,0,0,0
marvin255_serviform,0,0,18,6,0,1,12,18,6,0,0,0
forgemo_bittrex-java-client,0,0,3,1,0,1,2,3,0,0,0,0
publiclab_plots2,4,1,82,4,0,1,13,13,24,1,1,0
js-cli_js-liftoff,0,0,20,14,0,1,2,11,1,0,0,0
wojdyr_xylib,0,0,15,2,0,1,2,4,2,1,0,0
jsalonen_yle-api,0,0,11,2,0,1,2,5,4,0,0,0
commercetools_commercetools-sunrise-java,0,4,30,1,1,1,11,0,3,0,1,0
Codeception_Codeception,3,4,48,7,0,1,3,23,9,1,1,0
edx_ecommerce-worker,1,0,45,2,0,1,24,9,3,1,0,1
openstreetmap_openstreetmap-website,0,0,39,1,0,1,1,8,19,0,1,0
Idrinth_php-yaml-facade,0,11,45,7,0,1,2,21,11,0,0,0
Justin-ad-Park_spring-webservice,0,30,74,1,1,1,23,8,1,1,1,1
tip-grupo-2_biblo,0,0,25,1,0,1,3,8,4,0,0,1
pat_combustion,1,0,24,15,0,1,2,9,4,0,0,0
flubshi_pvr.waipu,2,7,55,5,0,1,43,5,13,0,0,0
Theano_Theano,5,21,140,23,0,2,12,26,29,0,1,0
ruby_ruby,16,41,292,4,3,1,1,9,41,1,1,0
rom-rb_rom-csv,1,0,24,7,1,1,4,8,1,0,0,0
PrincetonUniversity_IMDb,0,0,24,1,0,1,10,6,2,1,0,0
jenkinsci_github-plugin,0,0,11,1,0,1,2,6,2,0,1,0
cs3243-project-group-18_poker-ai,0,5,29,1,0,1,3,6,11,0,0,0
tastypackets_x12-parser,0,0,3,1,0,1,2,3,0,0,1,0
fluent_fluent-logger-python,0,1,36,9,0,1,14,12,3,0,0,1
Kosmas_leaguer,1,1,18,1,1,1,3,7,1,1,0,0
basho_riak-python-client,13,0,40,12,1,1,12,10,5,0,0,0
JMRI_JMRI,7,10,82,3,0,1,0,14,11,0,1,0
bostko_doc2text,0,0,7,1,1,1,2,4,0,0,0,0
serge-sans-paille_pythran,7,0,59,25,0,1,13,7,7,0,0,0
Martin-Dames_Tingeltangel,0,0,6,2,0,1,1,4,0,0,0,0
arescentral_antares,5,4,52,1,0,1,15,3,10,0,0,0
gizatt_pydrake_kuka,3,0,25,1,0,1,12,5,2,0,0,0
odota_web,0,1,29,1,3,1,11,11,9,1,0,0
andersondanilo_CnabPHP,0,3,32,4,1,1,202,17,2,0,0,0
Zarad1993_dyc,0,1,12,2,0,1,2,5,4,0,0,0
Warzone2100_warzone2100,1,35,85,2,1,1,4,5,11,1,0,0
novius-os_core,1,0,21,1,0,1,12,18,3,0,1,0
pine_illya,0,0,6,1,0,1,2,5,2,0,0,0
projectcypress_cypress,2,0,55,4,2,1,12,8,16,1,1,0
pyprism_Hiren-Vault,1,0,29,1,0,1,3,13,6,0,1,0
massiveart_MassiveSearchBundle,6,1,57,3,0,1,12,19,15,0,1,0
whitesmith_rubycritic,1,1,31,7,0,1,1,7,8,0,1,0
analogwp_analogwp-templates,2,0,38,17,0,1,12,24,2,1,0,0
albertodemichelis_squirrel,0,3,18,2,0,1,12,4,1,0,0,0
Netflix_servo,2,0,21,3,0,1,3,7,2,0,1,0
martinfehrs_whirl,0,0,47,3,0,1,4,4,6,0,0,0
collective_icalendar,0,0,16,8,0,1,2,10,2,0,1,0
notmarkmiranda_memento_mori,1,0,29,1,0,1,3,10,11,0,1,0
codez_dry_crud,2,2,16,2,0,1,2,6,0,0,1,0
hazimehh_L0Learn,0,0,13,1,0,1,11,8,0,0,1,0
ambimax_magento-module-ambimax-lazycatalogimages,4,1,43,4,1,1,114,24,2,0,0,0
healeycodes_EmojiStreamer,0,0,11,1,0,1,2,6,3,0,0,0
imglib_imglib2-introductory-workshop,1,0,18,1,0,1,2,7,2,1,1,0
conda-forge_nodejs-feedstock,4,2,20,1,0,1,3,2,4,0,0,0
naver_android-imagecropview,0,0,25,1,1,1,12,7,1,0,0,0
analogdevicesinc_libsmu,4,8,154,7,0,1,56,12,35,1,1,1
ethereum_ethereumj,3,7,53,1,3,1,11,10,2,0,1,0
Anaconda-Platform_anaconda-client,4,6,100,6,0,1,113,10,13,1,1,0
silvershop_silvershop-shipping,5,0,44,3,1,1,3,22,12,0,0,0
Javernaut_WhatTheCodec,0,4,29,1,0,1,1,3,13,0,0,0
OmegaK2_PyPoE,0,1,21,1,0,1,11,9,6,0,1,0
projectdx_hancock,1,0,19,2,0,1,12,9,2,0,1,0
akvo_akvo-flow-mobile,4,1,59,1,1,1,11,9,12,0,1,0
wultra_powerauth-webflow,1,0,24,1,0,1,2,7,1,1,0,0
czim_laravel-dataobject,0,0,20,3,1,1,2,16,3,0,0,0
sportngin_hubstats,0,0,25,5,0,1,0,7,6,1,1,0
churchill-lab_emase,0,0,27,2,0,1,2,4,13,0,0,0
saveriomiroddi_spreadbase,0,0,9,5,0,1,1,3,0,0,0,0
lpaulsen93_dokuwiki-plugin-odt,1,3,30,10,0,1,12,19,11,0,0,0
ekinhbayar_BrillTagger,0,0,12,1,0,1,2,14,3,0,0,0
pyload_pyload,7,12,186,12,0,3,20,14,22,1,1,0
hspsh_whois,0,0,18,1,0,1,2,8,7,0,0,0
codenautas_multilang,0,0,11,4,0,1,3,8,1,0,0,0
praxis_praxis,0,16,29,4,0,1,12,5,1,1,1,0
qiwi_di-container,0,0,35,1,0,1,22,9,12,0,0,1
travis-ci_travis-hub,2,0,48,2,0,2,13,10,6,0,1,0
ipfs_js-ipfs,1,27,364,58,0,5,1,14,59,1,0,0
dmfs_ContentPal,0,0,16,1,0,1,1,3,1,0,0,0
iawia002_Diana,0,3,41,1,0,1,112,12,6,1,1,0
luispedro_merge,0,0,10,4,0,1,2,5,2,0,0,0
microfocus-idol_java-aci-types,2,5,20,1,0,1,2,5,2,0,0,0
Parsely_wp-parsely,2,0,31,6,1,1,3,23,2,1,0,0
ning_maven-dependency-versions-check-plugin,0,0,15,2,0,1,12,7,3,0,0,0
bmlt-enabled_bmlt_tabbed_map,9,0,66,2,1,2,34,17,6,0,0,0
OCA_account-financial-tools,5,1,50,3,0,2,2,11,6,0,1,0
AzureAD_azure-activedirectory-library-for-android,4,6,54,1,0,1,12,10,10,0,1,0
j4velin_WiFi-Automatic,0,0,15,1,0,1,2,3,0,0,0,0
openmrs_openmrs-contrib-android-client,0,0,29,1,0,1,22,6,6,0,0,1
GeoNode_geonode,29,0,381,13,1,5,1,18,7,1,1,0
mozfr_transvision,0,6,33,3,0,1,12,22,13,0,1,0
open-keychain_open-keychain,0,1,34,1,0,1,12,5,1,0,0,0
edx_XBlock,1,0,38,7,0,1,14,9,2,0,1,1
stadia_activerecord-mysql2rgeo-adapter,4,0,39,3,0,1,112,11,9,0,0,0
byroot_frozen_record,0,0,6,3,0,1,13,2,0,0,0,0
yaocloud_kaname,0,0,5,2,0,1,2,3,0,0,0,0
alexandrebignalet_es-get-removed-subscribers,2,0,32,2,0,2,12,18,8,0,1,0
zcobell_ADCIRCModules,0,6,34,1,0,1,11,6,5,0,0,0
andrea-lascola_Pytoolz,0,0,18,1,0,1,12,7,4,0,0,1
MichaelMure_Arbore,0,0,65,4,1,1,12,11,5,0,1,1
devsim_symdiff,0,4,38,2,0,1,0,5,4,1,0,0
edhille_func-midi-parser,0,0,7,2,0,1,2,4,0,0,0,0
patrikx3_verdaccio-cli,1,0,11,1,0,1,2,5,1,0,1,0
mapbender_mapbender-starter,1,0,35,4,0,1,12,21,6,0,1,0
mayah_tinytoml,0,0,19,1,0,1,2,4,8,0,1,0
ros-perception_image_transport_plugins,1,0,12,2,0,1,3,4,2,0,0,0
saucelabs_monocle,2,4,36,4,0,1,13,7,2,1,1,0
ReactTraining_history,0,0,19,2,0,2,2,3,6,0,1,0
keita-hino_todo,1,0,17,1,1,1,2,9,4,0,1,0
liveblog_liveblog,11,2,91,1,0,1,0,26,37,0,1,0
marcusps_GraphSim,0,0,15,2,0,1,3,5,4,0,0,0
iVantage_angular-ivh-treeview,0,0,12,1,0,1,2,5,4,0,0,0
rwz_natural_sort,0,0,17,7,0,1,12,4,0,0,1,0
crate_crate-jdbc,1,1,27,5,0,1,11,10,2,0,1,0
