"travis_id","ght_id","watchers","slug","lang","created_at","last_build_finished_at","order","project_found","log_found","travis_present","first_t_commit","last_t_commit","active","last_build_duration","yml_contribs","yml_commits","job_count","repo_id","build_id","last_build","commits","contribs","last_commit","build_count","first_build","yml_deleted","travis_abandoned","builds_period","travis_period","pushes","PRs","project_age","abandoned","commit_time_after_last_build","abandoned_and_alive","status"
"110264","463361","1","yast/yast-dhcp-server","Ruby","2012-05-18","2017-01-24","157785","1","1","1","2014-10-23","2017-01-17","1","64","2","9","1","110264","194785278","2017-01-24","620","28","2017-01-18","75","2014-10-23","0","0","824","817","49","26","2125","0","-6","FALSE","no travis"
"113617","1011502","9","binocarlos/telegraft","JavaScript","2012-07-13","2012-07-21","78370","1","1","0","2013-04-21","2013-08-06","0","50","1","2","2","113617","1921482","2012-07-21","56","1","2014-10-29","19","2012-07-14","1","1","7","107","19","0","2069","1","830","TRUE","no travis"
"115947","1515577","1","fuzzyalej/fabes","Ruby","2012-07-11","2012-07-25","159053","1","1","1","2012-07-16","2012-07-16","1","24","1","1","1","115947","1950363","2012-07-25","24","1","2012-07-25","11","2012-07-16","0","0","9","0","11","0","2071","0","0","FALSE","no features"
"118801","209233","159","thlorenz/readdirp","JavaScript","2012-05-30","2016-11-11","16103","1","1","1","2012-06-03","2016-06-22","1","133","2","10","4","118801","175044155","2016-11-11","144","12","2016-06-27","118","2012-07-18","0","0","1577","1480","80","38","2113","0","-137","FALSE","no travis"
"123303","76888","1042","mbj/mutant","Ruby","2012-07-23","2015-06-13","3448","1","1","0","2012-07-26","2015-06-13","0","14","4","55","3","123303","66633249","2015-06-13","2612","47","2017-03-01","1936","2012-07-20","1","1","1058","1052","1569","367","2059","1","627","TRUE","no travis"
"124850","59610","268","jazzband/django-configurations","Python","2012-07-21","2017-02-20","10952","1","1","1","2012-07-21","2016-07-30","1","1174","6","37","15","124850","203410833","2017-02-20","304","33","2016-10-13","315","2012-07-21","0","0","1675","1470","181","134","2061","0","-130","FALSE","no travis"
"128222","201410","6","uvalib/tracksys","Ruby","2011-09-28","2015-03-14","89888","1","1","0","2012-02-08","2016-09-28","0","6","2","2","1","128222","54401780","2015-03-14","2022","9","2017-03-07","222","2013-04-13","1","1","700","1694","214","8","2358","1","724","TRUE","no travis"
"128648","2214893","25","Clever/clever-ruby","Ruby","2012-07-06","2014-06-18","47844","1","1","0","2013-01-23","2014-06-17","0","53","3","3","1","128648","27828890","2014-06-18","385","34","2017-04-13","46","2013-01-23","1","1","511","510","26","20","2076","1","1030","TRUE","no travis"
"128651","87017","14","Clever/clever-php","PHP","2012-07-24","2014-04-24","63775","1","1","0","2012-07-23","2014-04-24","0","39","3","3","1","128651","23708243","2014-04-24","96","24","2017-04-13","37","2012-07-24","1","1","639","640","28","9","2058","1","1085","TRUE","no travis"
"129001","670462","8","example42/puppet-haproxy","Puppet","2012-02-26","2015-06-28","80027","1","1","0","2013-12-13","2015-06-28","0","70","1","2","1","129001","68681720","2015-06-28","33","3","2016-05-12","23","2012-12-27","1","1","913","562","21","2","2207","1","319","TRUE","no travis"
"129006","16987","9","example42/puppet-libvirt","Puppet","2012-06-02","2015-06-28","75820","1","1","0","2012-12-27","2015-06-28","0","3","1","3","1","129006","68681786","2015-06-28","30","4","2016-05-12","18","2012-12-27","1","1","913","913","16","2","2110","1","319","TRUE","no travis"
"129015","1634768","2","example42/puppet-openntpd","Puppet","2012-03-09","2015-06-28","133588","1","1","0","2012-12-27","2015-06-28","0","5","1","3","1","129015","68681943","2015-06-28","29","3","2016-05-12","16","2012-12-27","1","1","913","913","13","3","2195","1","319","TRUE","no travis"
"129016","1634781","13","example42/puppet-openssh","Puppet","2011-11-03","2015-06-28","64817","1","1","0","2012-12-27","2015-06-28","0","3","1","3","1","129016","68681947","2015-06-28","80","9","2016-05-12","43","2012-12-27","1","1","913","913","26","17","2322","1","319","TRUE","no travis"
"129022","61793","9","example42/puppet-puppet","Puppet","2012-03-20","2017-03-15","75851","1","1","1","2012-12-26","2015-08-03","1","93","4","9","1","129022","211285117","2017-03-15","316","28","2016-08-12","201","2012-12-27","0","0","1539","950","115","86","2184","0","-215","FALSE","no travis"
"129025","280149","7","example42/puppet-redis","Puppet","2012-02-26","2015-06-28","84480","1","1","0","2012-12-27","2015-06-28","0","4","1","3","1","129025","68682052","2015-06-28","22","3","2016-05-12","12","2012-12-27","1","1","913","913","11","1","2207","1","319","TRUE","no travis"
"129027","1448647","4","example42/puppet-rsync","Puppet","2012-07-24","2015-06-28","105579","1","1","0","2012-12-27","2015-06-28","0","4","1","3","1","129027","68682083","2015-06-28","25","5","2016-05-12","23","2012-12-27","1","1","913","913","20","3","2058","1","319","TRUE","no travis"
"129408","12045","78","sensio/SensioDistributionBundle","PHP","2011-06-20","2013-05-30","25682","1","1","0","2013-02-05","2014-03-14","1","375","1","2","3","129408","7637229","2013-05-30","544","96","2017-01-10","23","2013-02-07","1","1","112","402","14","9","2458","0","1321","FALSE","no travis"
"130083","244347","266","justmoon/node-bignum","JavaScript","2011-11-13","2017-03-07","11025","1","1","1","2012-12-06","2016-06-15","1","956","3","7","8","130083","208570541","2017-03-07","251","24","2016-06-16","139","2012-12-07","0","0","1551","1287","94","45","2312","0","-264","FALSE","no travis"
"130217","6569215","1","kputnam/xmlparsable","Ruby","2010-12-27","2015-09-20","165684","1","1","1","2012-07-25","2012-07-25","1","56","1","1","3","130217","81309504","2015-09-20","47","1","2015-09-20","6","2012-07-25","0","0","1152","0","6","0","2633","0","0","FALSE","no github"
"130261","347373","9","BeSimple/BeSimpleSoapCommon","PHP","2013-07-17","2013-07-18","75978","1","1","0","2013-01-16","2013-07-19","0","12","1","2","3","130261","9215952","2013-07-18","80","4","2014-08-16","18","2013-01-16","1","1","183","184","15","3","1700","1","394","TRUE","no travis"
"131327","10699","2940","fontello/fontello","JavaScript","2012-02-10","2017-03-16","1169","1","1","1","2013-01-02","2016-08-26","1","90","4","10","1","131327","211918594","2017-03-16","2152","29","2017-03-04","1019","2013-01-02","0","0","1534","1332","948","71","2223","0","-12","FALSE","no travis"
"135561","108312","3","endroid/Sudoku","PHP","2012-05-19","2017-01-23","116176","1","1","1","2012-06-16","2017-01-01","1","370","3","14","6","135561","194629635","2017-01-23","63","4","2017-01-23","51","2012-07-29","0","0","1639","1660","51","0","2124","0","0","FALSE","no travis"
"136250","11000","41","mozilla-b2g/gaia-email-libs-and-more","JavaScript","2012-04-01","2015-05-01","36640","1","1","0","2013-07-29","2015-05-01","0","500","3","6","1","136250","60879277","2015-05-01","1771","31","2015-12-23","646","2013-07-31","1","1","639","641","195","451","2172","1","236","TRUE","no travis"
"136256","11122","89","mozilla-b2g/b2g-manifest","Shell","2012-05-05","2016-07-17","23581","1","1","0","2014-11-05","2016-08-01","0","27","2","5","1","136256","145369044","2016-07-17","918","76","2016-09-30","639","2014-11-18","1","1","607","635","241","398","2138","1","75","TRUE","no travis"
"141582","419665","322","frosas/spotify-to-mp3","Ruby","2011-09-19","2013-02-27","9539","1","1","0","2012-08-21","2013-02-25","0","48","1","3","1","141582","5119866","2013-02-27","126","7","2016-01-13","11","2012-08-21","1","1","190","188","11","0","2367","1","1050","TRUE","no travis"
"145907","1065663","7","teambox/trimmer","Ruby","2011-04-13","2013-12-27","84715","1","1","1","2013-07-19","2013-07-19","1","20","1","3","1","145907","16027505","2013-12-27","36","5","2013-12-27","6","2013-07-19","0","0","161","0","4","2","2526","0","0","FALSE","no github"
"151044","1141983","11","janlelis/fancy_irb","Ruby","2010-11-10","2016-03-02","69794","1","1","1","2015-03-25","2015-03-27","1","477","1","2","6","151044","113192289","2016-03-02","107","4","2016-03-02","6","2015-03-29","0","0","339","2","6","0","2680","0","0","FALSE","no travis"
"151064","271188","50","janlelis/unicode-display_width","Ruby","2011-01-03","2017-01-30","32964","1","1","1","2015-02-05","2017-01-25","1","1020","3","11","9","151064","196499730","2017-01-30","96","6","2017-01-30","54","2015-02-05","0","0","725","720","47","7","2626","0","0","FALSE","no travis"
"164023","21069","7","dtulibrary/toshokan","Ruby","2012-07-27","2016-05-17","84306","1","1","0","2012-10-25","2016-03-30","0","226","5","7","1","164023","130810127","2016-05-17","1263","13","2017-01-06","762","2012-10-25","1","1","1300","1252","756","6","2055","1","234","TRUE","no travis"
"165960","15607606","90","Homebrew/homebrew-bundle","Ruby","2011-06-25","2017-05-29","23541","1","1","1","2013-06-14","2016-12-03","1","196","3","13","1","165960","237280161","2017-05-29","404","40","2017-05-29","579","2013-06-14","0","0","1445","1268","229","350","2453","0","0","FALSE","no travis"
"167428","36381","19","niccholaspage/Fe","Java","2012-07-25","2013-12-30","53989","1","1","0","2012-08-04","2013-12-29","0","42","1","4","2","167428","16120768","2013-12-30","399","7","2014-07-20","281","2012-08-04","1","1","513","512","270","11","2057","1","202","TRUE","no travis"
