id,name,language,commits,stars,forks,last_change_at,bucket,external,author1,author2,actual,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributorsOnConfigurationFile,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage
ac09351b-0c34-4d1f-9d62-848fa38543ac,consul/consul,Ruby,15465,1039,789,05.11.20 05:27,big,1,1,,1,4,0,24,5,0,1,3,8,4,0,1,0,3,0.002455415,0,38,11,0.208059002,3746.152061,3.50E-04,0.938962479,27730.52941
e21c7c1d-6137-4974-a423-acd2c2b2b7c6,coredump-ch/interna,Python,129,2,2,09.03.20 15:38,small,1,1,,1,4,0,18,1,0,1,12,7,6,0,0,0,9,0.054263566,2,7,2,0.70212766,66.3902439,0,0.648648649,1886304
a0e92347-8d8a-409c-ad38-aec71c04527c,costrouc/dftfit,Python,324,15,5,20.10.19 04:07,small,0,0,,0,0,0,18,1,0,1,15,2,1,0,0,1,0,0.009259259,0,3,1,0.5,190,0.2,0,1135
256ff8ec-3054-4636-9cc6-288912971f43,crate/crate-jdbc,Java,398,15,18,27.08.20 13:19,medium,0,0,,0,1,1,27,5,0,1,11,10,2,0,1,0,90,0.030150754,137,12,6,0.607054963,1053.571865,0,0.687361419,77252.64
fcd989e7-89c4-4e13-a4dc-adfede0d017f,cronitorio/cronitor-ruby,Ruby,102,12,5,23.10.20 18:12,small,0,0,,0,0,0,6,2,0,1,2,3,0,0,0,0,0,0.046511628,0,6,1,0.682926829,56.6,0,0.615384615,7628704
bc23afcc-9701-4821-8684-d3dda5dfea8e,DaveMDS/nepymc,Python,126,2,0,06.04.19 09:22,small,0,0,,0,0,4,25,2,0,1,0,5,1,0,0,0,107,0.103174603,85,13,1,0.5,135.4444444,0,0,2498
6df31aca-e6b1-4d54-8b62-2fdedae5f468,ddarriba/modeltest,C++,238,40,14,11.12.20 02:41,small,0,0,,0,0,0,8,2,0,1,2,2,1,0,0,0,167,0.004201681,608,1,1,0,0,0,0,0
ee4de3d3-a507-4846-9b77-169655f6ae78,denger/sendcloud4j,Java,58,41,26,13.10.20 07:34,small,0,0,,0,0,0,9,3,0,1,2,4,0,0,0,0,5,0.068965517,13,4,1,0.8,255,0,0.25,0
f0ca176b-8cc4-4095-9a14-a9095975005b,docker/docker-py,Python,3091,4975,1423,27.10.20 21:18,popular,1,0,0,0,1,0,21,5,0,1,23,4,2,0,0,0,188,0.003534704,154,11,6,0.798186604,317.7157287,0,0.801218583,50191.45455
16653ce8-37a3-4d83-b950-438670f025f5,Dolibarr/dolibarr,PHP,91380,2132,1523,05.11.20 13:42,big,1,1,,1,2,69,454,3,2,1,0,46,31,0,0,0,38713,0.004885098,4150,453,12,0.544976928,3209.555264,0,0.460376893,26652.34992
b6d9502f-f160-40c5-a82a-d01d0f288001,dougfales/gpx,Ruby,119,81,45,08.07.20 22:37,small,0,0,,0,0,0,8,4,0,1,2,4,1,0,0,0,53,0.050420168,3129,6,1,0.777777778,386.8421053,0,0.454545455,818.5
6f3d7c80-05a4-4121-aab9-f95bdd229d7d,dozjs/doz,JavaScript,1596,32,6,09.01.21 15:30,small,0,0,,0,0,0,3,1,0,1,2,3,0,0,0,0,1,0.001249219,0,2,1,0.898550725,80.48122066,0.009029345,0.004514673,38245.36364
d7f62a84-356a-4ca0-9054-d3d878efbafa,ebu/PlugIt,Python,269,4,2,05.06.20 17:18,small,1,0,1,1,0,0,11,1,0,1,2,5,3,0,0,0,209,0.011152416,1409,3,1,0.740384615,49.56818182,0,0.666666667,141470.8333
0160c17e-9052-45a6-8a90-7f621f81c1a4,edx/edx-app-android,Java,3144,247,275,04.11.20 14:32,big,1,1,,1,2,19,85,1,1,1,22,13,18,1,1,0,1,0.016260163,0,52,14,0.728850325,1366.068313,0,0.851466993,26187.81654
f177a108-145a-4934-9f92-55e0de851d0b,elibri/elibri_onix,Ruby,151,2,1,07.01.21 09:31,small,0,0,,0,0,0,6,3,0,1,2,3,0,0,0,0,42,0.039735099,185,6,2,0.697674419,251.9375,0,0,1.23E+07
8aa66921-7bf2-4cd6-b831-4c3e23957a39,envygeeks/jekyll-assets,Ruby,1354,1068,153,28.09.20 10:10,small,1,1,,1,4,0,42,8,1,1,14,11,4,1,1,0,0,0.039881832,0,54,5,0.700575816,2171.312684,0.002061856,0.334020619,1154954.178
aaf2960f-60b6-4319-a0f3-b4e49fd152bc,enwikipedia-acc/waca,PHP,5445,26,33,20.01.21 00:31,medium,1,1,,1,3,0,47,1,1,1,0,31,11,0,0,0,4332,0.004958678,2177,27,7,0.751846381,171.5367647,0,0.728187919,2823860.222
